enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target,min_company_size,max_company_size,avg_company_size,is_avg_nan
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,1,36,1.0,,,74.5,True
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,5,47,0.0,50.0,99.0,74.5,False
11561,city_21,0.624,Non disclosure,No relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,0,83,0.0,,,74.5,True
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Funded Startup,4,8,0.0,50.0,99.0,74.5,False
21651,city_176,0.764,Non disclosure,Has relevent experience,Part time course,Graduate,STEM,11,Pvt Ltd,1,24,1.0,,,74.5,True
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,STEM,5,Funded Startup,1,24,0.0,50.0,99.0,74.5,False
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Pvt Ltd,5,18,1.0,1.0,10.0,5.5,False
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,1,46,1.0,50.0,99.0,74.5,False
699,city_103,0.92,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,17,Pvt Ltd,5,123,0.0,10000.0,20000.0,15000.0,False
29452,city_21,0.624,Non disclosure,No relevent experience,Full time course,High School,STEM,2,Pvt Ltd,0,32,1.0,,,74.5,True
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,108,0.0,5000.0,9999.0,7499.5,False
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,3,23,0.0,1000.0,4999.0,2999.5,False
8722,city_21,0.624,Non disclosure,No relevent experience,Full time course,High School,STEM,5,Pvt Ltd,0,26,0.0,,,74.5,True
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Pvt Ltd,5,18,0.0,10.0,49.0,29.5,False
4167,city_103,0.92,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,1,Pvt Ltd,0,106,0.0,50.0,99.0,74.5,False
5764,city_21,0.624,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,2,7,0.0,5000.0,9999.0,7499.5,False
2156,city_21,0.624,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,0,23,1.0,10000.0,20000.0,15000.0,False
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Pvt Ltd,1,132,1.0,,,74.5,True
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Pvt Ltd,1,68,0.0,100.0,500.0,300.0,False
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Pvt Ltd,2,50,0.0,100.0,500.0,300.0,False
